Omega,Implementation,Time
2.0,CUTLASS,1.3358778625954198e-05
2.0,CUTLASS,1.286764705882353e-05
2.0,CUTLASS,1.1945392491467577e-05
2.0,CUTLASS,1.2727272727272727e-05
2.0,CUTLASS,1.3409961685823755e-05
2.0,CUTLASS,1.232394366197183e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3257575757575758e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3257575757575758e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3671875e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3358778625954198e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3209104847269725e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3157894736842106e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3108614232209737e-05
2.0,CUTLASS,1.3257575757575758e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3011152416356877e-05
2.0,CUTLASS,1.372549019607843e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.372549019607843e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.2110726643598615e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3307984790874526e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3307984790874526e-05
2.0,CUTLASS,1.282051282051282e-05
2.0,CUTLASS,1.372549019607843e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.320754716981132e-05
2.0,CUTLASS,1.3671875e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3461538461538462e-05
2.0,CUTLASS,1.372549019607843e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3671875e-05
2.0,CUTLASS,1.3671875e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3673544133805394e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3618677042801557e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.3779527559055118e-05
2.0,CUTLASS,1.3513513513513513e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3565891472868217e-05
2.0,CUTLASS,1.3515144201761794e-05
2.0,CUTLASS,1.3671875e-05
2.0,CUTLASS,1.383399209486166e-05
2.0,cuBLAS,1.6587677725118483e-05
2.0,cuBLAS,1.5418502202643173e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.383399209486166e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.569506726457399e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5350877192982457e-05
2.0,cuBLAS,1.590909090909091e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.562718013115669e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.3779527559055118e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.5486725663716813e-05
2.0,cuBLAS,1.5839343798614057e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5418502202643173e-05
2.0,cuBLAS,1.6129032258064517e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.5151515151515151e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.5555555555555555e-05
2.0,cuBLAS,1.5021459227467811e-05
2.0,cuBLAS,1.6129032258064517e-05
2.0,cuBLAS,1.5283842794759826e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.5418502202643173e-05
2.0,cuBLAS,1.6057347670250894e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.569506726457399e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5486725663716813e-05
2.0,cuBLAS,1.5839343798614057e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.5555555555555555e-05
2.0,cuBLAS,1.5086206896551724e-05
2.0,cuBLAS,1.5086206896551724e-05
2.0,cuBLAS,1.569506726457399e-05
2.0,cuBLAS,1.4644351464435147e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.6129032258064517e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.583710407239819e-05
2.0,cuBLAS,1.6203703703703704e-05
2.0,cuBLAS,1.569506726457399e-05
2.0,cuBLAS,1.5486725663716813e-05
2.0,cuBLAS,1.590909090909091e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5555555555555555e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.591135104418241e-05
2.0,cuBLAS,1.4285714285714285e-05
2.0,cuBLAS,1.569506726457399e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.590909090909091e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuBLAS,1.590909090909091e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5418502202643173e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.5981735159817352e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.5486725663716813e-05
2.0,cuBLAS,1.6055045871559634e-05
2.0,cuBLAS,1.590909090909091e-05
2.0,cuBLAS,1.5625e-05
2.0,cuBLAS,1.6129032258064517e-05
2.0,cuBLAS,1.5765765765765765e-05
2.0,cuCOSMA,2.8925619834710744e-05
2.0,cuCOSMA,2.5179856115107914e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.5925925925925925e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.5547445255474453e-05
2.0,cuCOSMA,2.5e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.5e-05
2.0,cuCOSMA,2.4822695035460992e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.4305555555555554e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.536231884057971e-05
2.0,cuCOSMA,2.5925925925925925e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.464788732394366e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.536231884057971e-05
2.0,cuCOSMA,2.5547445255474453e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.6515151515151516e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.5547445255474453e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.4822695035460992e-05
2.0,cuCOSMA,2.258064516129032e-05
2.0,cuCOSMA,2.5e-05
2.0,cuCOSMA,2.4822695035460992e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.5925925925925925e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.6515151515151516e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6515151515151516e-05
2.0,cuCOSMA,2.173913043478261e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6125495684627944e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.672393223574326e-05
2.0,cuCOSMA,2.536231884057971e-05
2.0,cuCOSMA,2.5553274013232945e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.5925925925925925e-05
2.0,cuCOSMA,2.6125495684627944e-05
2.0,cuCOSMA,2.536231884057971e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6515151515151516e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.6125495684627944e-05
2.0,cuCOSMA,2.5925925925925925e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.5179856115107914e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.5547445255474453e-05
2.0,cuCOSMA,2.734375e-05
2.0,cuCOSMA,2.5e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.536231884057971e-05
2.0,cuCOSMA,2.573529411764706e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.4305555555555554e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.7131782945736434e-05
2.0,cuCOSMA,2.6119402985074626e-05
2.0,cuCOSMA,2.464788732394366e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.6923076923076923e-05
2.0,cuCOSMA,2.6717557251908397e-05
2.0,cuCOSMA,2.6315789473684212e-05
2.0,cuCOSMA,2.5179856115107914e-05
2.0,cuCOSMA,2.6119402985074626e-05
3.0,CUTLASS,9.185987903225806e-05
3.0,CUTLASS,9.004446640316206e-05
3.0,CUTLASS,8.049911660777385e-05
3.0,CUTLASS,8.136160714285714e-05
3.0,CUTLASS,8.728448275862069e-05
3.0,CUTLASS,8.56437969924812e-05
3.0,CUTLASS,8.864299610894942e-05
3.0,CUTLASS,9.040178571428571e-05
3.0,CUTLASS,9.004446640316206e-05
3.0,CUTLASS,8.864299610894942e-05
3.0,CUTLASS,8.795849420849421e-05
3.0,CUTLASS,8.795849420849421e-05
